Cow_ID,Day,Age_Years,Breed,Body_Temperature_C,Env_Temperature_C,Env_Humidity_Percent,Cows_Movement_Activity,Milk_Conductivity_mS_cm,Mastitis_Status,Mastitis_Next_7_Days,Mastitis_Next_14_Days
C0001,1,8,Holstein Friesian,38.2227517504579,20.809203311479116,73.82647577229385,2762.041444355755,4.6647136843360375,Healthy,0,0
C0001,2,8,Holstein Friesian,38.20982055566499,20.003731635184614,72.73374813253231,2615.9887125200216,4.77330710466479,Healthy,0,0
C0001,3,8,Holstein Friesian,38.11269183423322,21.64083083374506,78.2014147030798,2622.9915872551705,,Healthy,0,0
C0001,4,8,Holstein Friesian,38.13898378887173,24.06637938287983,69.14605226958767,2288.401591750705,4.789077769872752,Healthy,0,0
C0001,5,8,Holstein Friesian,38.42225363058832,20.177371865670047,77.52194269572057,2487.286131590864,4.713941471841465,Healthy,0,0
C0001,6,8,Holstein Friesian,38.00933194083976,20.435152944178665,86.40362116353342,2302.10867642756,4.523662562606323,Healthy,0,0
C0001,7,8,Holstein Friesian,37.74899739647693,24.499431413568793,68.93220776792707,2364.412099605495,4.657935789549142,Healthy,0,0
C0001,8,8,Holstein Friesian,38.61890213340603,24.06172136986346,72.36996580005938,2755.181613093215,4.7859976158971165,Healthy,0,0
C0001,9,8,Holstein Friesian,38.60122912043968,20.2697800341679,74.25047121400347,2720.799599088648,4.40151637674767,Healthy,0,0
C0001,10,8,Holstein Friesian,38.39782490877832,23.846524775942218,70.98581731485199,2584.9097528905586,4.659244887882183,Healthy,0,0
C0001,11,8,Holstein Friesian,37.90129317042787,20.476889567144493,64.97806809766811,2561.699126993678,4.390782421505913,Healthy,0,0
C0001,12,8,Holstein Friesian,38.18003868185644,21.373188122889598,77.82140134702811,2319.2008181942183,4.513825273719258,Healthy,0,0
C0001,13,8,Holstein Friesian,38.42209387586181,22.697652807270803,69.74112694325476,2434.3572137354386,4.728746529327522,Healthy,0,0
C0001,14,8,Holstein Friesian,38.365908063779855,18.340969750674894,76.98858285080792,2440.860788590922,4.770363259749211,Healthy,0,0
C0001,15,8,Holstein Friesian,38.34750399842919,19.66498397607428,67.72715717742425,2555.9700852353585,4.745548604880329,Healthy,0,0
C0001,16,8,Holstein Friesian,38.540956241406384,22.128997078597767,81.22020711034058,2691.0130194535645,4.689787104567162,Healthy,0,0
C0001,17,8,Holstein Friesian,38.00239508430168,20.873810811407743,67.90547748129156,2570.343629819122,4.735030677180437,Healthy,0,0
