Cow_ID,Day,Udder_Temperature_C,Ambient_Temperature_C,THI,Milk_EC_mS_cm,Milk_Yield_kg,Mastitis_Status,Mastitis_Next_7_Days,Mastitis_Next_14_Days
C0001,1,38.18450631739175,17.71346388207456,56.44879360738804,5.110077767604862,,Healthy,0,0
C0001,2,38.07431285053766,22.21934926376909,61.37437351029214,4.865757256944229,16.55948756293015,Healthy,0,0
C0001,3,38.3106774122573,20.93184936181939,59.653044762196004,4.844369283491949,14.682160667854836,Healthy,0,0
C0001,4,38.17128397273838,17.5354633883103,56.327486862927564,4.882000372607689,,Healthy,0,0
C0001,5,38.65542837055028,19.48594995437494,63.63164390140122,5.195894666261413,14.639647965588322,Healthy,0,0
C0001,6,38.56301424019875,24.75462558534723,65.59504436748006,,13.258759823556298,Healthy,0,0
C0001,7,38.17247921719367,17.523852792294498,56.340324651671835,4.754296584964494,14.24398232388737,Healthy,0,0
C0001,8,38.45395851383753,21.234146109923444,60.03874277503526,4.9442419769286285,13.07188470004288,Healthy,0,0
C0001,9,38.30824093813095,24.325640436135444,66.84236193634334,,13.266786171909079,Healthy,0,0
C0001,10,38.210916604372066,19.338402279534417,60.12938307045579,5.052296582464998,14.411182574086663,Healthy,0,0
C0001,11,38.05709332865172,20.002039948183192,,5.109309116026082,14.251946664950482,Healthy,0,0
C0001,12,38.23008399412995,22.507880063935346,60.96626131407411,4.884755354762968,13.559589995317499,Healthy,0,0
C0001,13,38.245445973567804,24.720373651246728,66.47492800391302,5.058189455704263,15.584690886335556,Healthy,0,0
C0001,14,38.66892526210183,20.177093803913756,63.38860619663818,5.199104812912361,14.782644428500452,Healthy,0,0
C0001,15,38.44692834094402,21.947520684671982,65.08697892917495,4.98518710141435,14.455029464366131,Healthy,0,0
C0001,16,38.3836583326983,22.431869932918605,61.59147337310557,4.895152397666553,16.963225194808995,Healthy,0,0
C0001,17,38.568136760079845,27.591475568920956,70.61945431050023,4.949597834527907,12.312622903708192,Healthy,0,0
C0001,18,38.21660385362798,28.014275198189658,76.07778654019106,5.152036171802835,13.257606852443901,Healthy,0,0
C0001,19,38.32550198624442,25.430852263645527,72.05056757572177,4.921375769633012,15.553626458823826,Healthy,0,0
C0001,20,38.28471023880155,24.45954394688571,65.26128980568983,4.69606026305303,13.570404774729711,Healthy,0,0
C0001,21,38.19885179116882,25.733877473234745,66.23181643094532,4.933126197441806,13.480681073473654,Healthy,0,0
C0001,22,38.29149611166796,27.00404245808552,70.65010801455158,4.635387579906575,13.52158260121194,Healthy,0,0
C0001,23,38.438017727612774,21.474696417755133,64.66749352725721,5.182972935247705,14.245797726874825,Healthy,0,0
C0001,24,38.144469569556065,26.10161991914563,71.36251111922635,5.104729025183883,13.059526435503235,Healthy,0,0
C0001,25,38.332816352575854,22.16056647502724,63.202713410061804,4.924445280945915,14.478847012760475,Healthy,0,0
C0001,26,38.06591842706161,23.71323572553841,66.06061795814928,5.017177106984262,14.5886230670268,Healthy,0,0
C0001,27,38.240231481528475,26.799011510153075,71.06412007027772,5.118517488179463,15.883095383413238,Healthy,0,0
C0001,28,38.45382513778567,22.585398178353017,65.98954457247133,4.802028403013073,14.503022309186402,Healthy,0,0
C0001,29,38.39789180980667,24.63395327668807,66.65986155778432,4.8850238971423305,14.428593251938235,Healthy,0,0
C0001,30,38.18760461521381,24.140649012928925,65.56544899945021,4.996778530841415,14.664105654307399,Healthy,0,0
C0001,31,,24.39195519701351,69.27544773952678,5.108375216710956,13.36088137184942,Healthy,0,0
C0001,32,38.494048741310145,19.236211379281002,61.453504228251724,4.793023481056677,13.607197786923475,Healthy,0,0
